timestamp(ms),GPS[0].Lat,GPS[0].Lng,BARO[0].AltAMSL,ARSP[0].Airspeed,GPS[0].Spd,CTUN.As
582101.0611260935,527821128,-7083547,176.22604370117188,14.666244506835938,16.6510009765625,14.477516174316406
582201.0611260935,527821128,-7083547,176.65834045410156,14.604047775268555,16.6510009765625,14.534392356872559
582301.0611260935,527821408,-7083731,176.99977111816406,14.66624641418457,16.894001007080078,14.555323600769043
582401.0611260935,527821408,-7083731,177.087890625,14.873539924621582,16.894001007080078,14.588688850402832
582501.0611260935,527821690,-7083916,176.9612274169922,14.940154075622559,16.928001403808594,14.674724578857422
582601.0611260935,527821690,-7083916,176.46560668945312,14.70568561553955,16.928001403808594,14.754855155944824
582701.0611260935,527821974,-7084095,175.9038848876953,14.956756591796875,16.929000854492188,14.740121841430664
582801.0611260935,527821974,-7084095,175.5789794921875,14.87910270690918,16.929000854492188,14.805444717407227
582901.0611260935,527822264,-7084268,175.28160095214844,14.784255981445312,17.388999938964844,14.827580451965332
583001.0611260935,527822264,-7084268,175.02001953125,14.87910270690918,17.388999938964844,14.814597129821777
583101.0611260935,527822567,-7084424,174.54641723632812,14.102469444274902,17.838001251220703,14.833977699279785
583201.0611260935,527822567,-7084424,174.51612854003906,13.570199012756348,17.838001251220703,14.618369102478027
583301.0611260935,527822879,-7084552,174.59046936035156,13.410719871520996,17.964000701904297,14.311981201171875
583401.0611260935,527822879,-7084552,174.58221435546875,13.085931777954102,17.964000701904297,14.047675132751465
583501.0611260935,527823195,-7084659,174.46656799316406,13.37364673614502,17.84400177001953,13.76620864868164
583601.0611260935,527823195,-7084659,174.52163696289062,13.949078559875488,17.84400177001953,13.649625778198242
583701.0611260935,527823507,-7084759,174.9043731689453,14.364092826843262,17.474000930786133,13.74014663696289
583801.0611260935,527823507,-7084759,175.56796264648438,14.4445219039917,17.474000930786133,13.930265426635742
583901.0611260935,527823817,-7084856,176.08287048339844,14.242600440979004,17.648000717163086,14.086514472961426
584001.0611260935,527823817,-7084856,176.34445190429688,13.889622688293457,17.648000717163086,14.13352108001709
584101.0611260935,527824130,-7084955,176.672119140625,14.1259183883667,17.81800079345703,14.060795783996582
584201.0611260935,527824130,-7084955,177.1622314453125,14.392868041992188,17.81800079345703,14.080364227294922
584301.0611260935,527824445,-7085053,177.29164123535156,14.5700101852417,17.91900062561035,14.17483901977539
584401.0611260935,527824445,-7085053,177.16773986816406,14.329484939575195,17.91900062561035,14.294537544250488
